name,link,upvotes,author,time,comment
Why have papers by one of history's most famous physicists been retracted?,https://www.science.org/content/article/why-have-papers-one-history-s-most-famous-physicists-been-retracted,168,adharmad,1 hour ago,67 comments
Incident CVE-2026-LGTM,https://nesbitt.io/2026/06/26/incident-report-cve-2026-lgtm.html,267,mooreds,3 hours ago,46 comments
The Exhaustion of Talking to a Tool,https://ohadravid.github.io/posts/2026-06-tool-talking/,12,BrunoBernardino,34 minutes ago,1 comment
Ultrasound Imaging of the Brain,https://alephneuro.com/blog/ultrasound-brain,73,rossant,4 hours ago,21 comments
"Jolla Phone, Over 13 500 units sold",https://commerce.jolla.com/products/jolla-phone-october-2026,90,mrbn100ful,1 hour ago,62 comments
"New satellites from years to weeks, days, or hours",https://arstechnica.com/space/2026/06/a-us-military-exercise-in-space-got-underway-with-barely-anyone-noticing/,23,jonbaer,1 hour ago,1 comment
Om Malik has died,https://om.co/2026/06/24/1966-2026/,1145,minimaxir,19 hours ago,132 comments
An entire Herculaneum scroll has been read for the first time,https://scrollprize.org/firstscroll,1509,verditelabs,1 day ago,324 comments
Libre Barcode Project,https://graphicore.github.io/librebarcode/,241,luu,12 hours ago,38 comments
Bipartite Matching Is in NC,https://scottaaronson.blog/?p=9851,75,amichail,7 hours ago,6 comments
Why software engineers are grieving,https://dev.jimgrey.net/2026/06/25/why-software-engineers-are-grieving/,21,chrisp1118,43 minutes ago,13 comments
The AI industry is pouring millions into US elections,https://www.bloodinthemachine.com/p/the-ai-industry-is-pouring-hundreds,52,speckx,1 hour ago,20 comments
What happened after 2k people tried to hack my AI assistant,https://www.fernandoi.cl/posts/hackmyclaw/,289,cuchoi,13 hours ago,124 comments
Framework's 10G Ethernet module exposes USB-C's complexity,https://www.jeffgeerling.com/blog/2026/framework-10g-ethernet-module-usb-c-complexity/,270,Alupis,14 hours ago,143 comments
Show HN: WebBase-III – dBASE III rebuilt in the browser with its own interpreter,https://github.com/DDecoene/WebBaseIII,44,ddecoene,6 hours ago,11 comments
22-year-old Mozart's handwritten notebook unearthed in 'major discovery',https://www.classicfm.com/composers/mozart/handwritten-notebook-discovered-major-paris/,173,thunderbong,14 hours ago,47 comments
FEXPRs vs. vtable: how LispE interpreter works,https://github.com/naver/lispe/wiki/2.7-FEXPR-vs.-vtable,27,birdculture,4 hours ago,5 comments
"A game where you're an OS and have to manage processes, memory and I/O events",https://github.com/plbrault/youre-the-os,307,exploraz,19 hours ago,64 comments
"The 'papers, please' era of the internet will decimate your privacy",https://expression.fire.org/p/the-papers-please-era-of-the-internet,948,bilsbie,18 hours ago,477 comments
We all depend on open source. We will defend it together,https://akrites.org/letter/,377,dhruv3006,10 hours ago,184 comments
The Garbage Collection Handbook: The Art of Automatic Memory Management (2nd Ed) (2023),https://gchandbook.org/,203,teleforce,16 hours ago,43 comments
Oxide computer 3D rack guided tour,https://explorer.oxide.computer/,436,darthcloud,23 hours ago,177 comments
IBM debuts sub-1 nanometer chip technology,https://newsroom.ibm.com/2026-06-25-ibm-debuts-worlds-first-sub-1-nanometer-chip-technology,358,porridgeraisin,1 day ago,191 comments
"Hey Nico, you didn't vibe code your data room but stole it from Papermark",https://twitter.com/mfts0/status/2070080422482977095,523,mmunj,1 day ago,218 comments
Show HN: Chess-Inspired Roguelike,https://princechazz.com,389,cowboy_henk,1 day ago,122 comments
Show HN: OpenKnowledge – open source AI-first alternative to Obsidian/Notion,https://github.com/inkeep/open-knowledge,332,engomez,21 hours ago,156 comments
Microbubbles in Medicine,https://worksinprogress.co/issue/microbubbles/,25,Jimmc414,7 hours ago,3 comments
Un-0: Generating Images with Coupled Oscillators,https://unconv.ai/blog/introducing-un-0-generating-images-with-coupled-oscillators/,178,babelfish,19 hours ago,42 comments
The Doorman's Fallacy in action,https://rozumem.xyz/posts/17,189,rozumem,20 hours ago,246 comments
Mullvad founder gave millions to extremist far right party,https://mastodon.social/@raphaelrobert/116816274242387568,16,vrganj,1 hour ago,5 comments
