Product_name,Discounted_price,Regula_price,Discount,Full_link
Grey Acid Wash Polo T-shirt,₹ 649,₹ 1999,68% off,https://www.beyoung.in/grey-acid-wash-polo-t-shirt
Maroon Acid Wash Polo T-shirt,₹ 649,₹ 1999,68% off,https://www.beyoung.in/maroon-acid-wash-polo-t-shirt
Khaki Textured Cotton Pants,₹ 998,₹ 2999,67% off,https://www.beyoung.in/khaki-textured-summer-pants
Beige Textured Cotton Pants,₹ 998,₹ 2999,67% off,https://www.beyoung.in/beige-textured-summer-pants
Sand Brown Linen Striped Shirt,₹ 799,₹ 2299,65% off,https://www.beyoung.in/sand-brown-linen-striped-shirt
Black Jacquard Striped T-Shirt,₹ 449,₹ 1199,63% off,https://www.beyoung.in/black-jacquard-striped-t-shirt
White Jacquard Striped T-Shirt,₹ 449,₹ 1199,63% off,https://www.beyoung.in/white-jacquard-striped-t-shirt
Brown Linen Striped Shirt,₹ 799,₹ 2299,65% off,https://www.beyoung.in/brown-linen-striped-shirt
Green Oxford Striped Shirt,₹ 849,₹ 2299,63% off,https://www.beyoung.in/green-oxford-striped-shirt
Beige Oxford Striped Shirt,₹ 849,₹ 2299,63% off,https://www.beyoung.in/beige-oxford-striped-shirt
Denim Blue Acid Wash Polo T-shirt,₹ 649,₹ 1999,68% off,https://www.beyoung.in/denim-blue-acid-wash-polo-t-shirt
Sand Brown Acid Wash Polo T-shirt,₹ 649,₹ 1999,68% off,https://www.beyoung.in/sand-brown-acid-wash-polo-t-shirt
